Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC]
18/09/2020 16:58:02,783;38,593155;-14,925875;33,463233;32,061595;47,717647;27,190613;48,335328;30,897611
18/09/2020 16:58:03,783;38,594235;-14,927242;33,436128;32,033883;47,61476;27,242052;48,489654;31,000503
18/09/2020 16:58:04,783;38,594081;-14,924661;33,410871;32,008326;47,563317;27,293491;47,820904;31,000503
18/09/2020 16:58:05,783;38,593309;-14,924812;33,361128;31,959677;47,511874;27,242052;47,512251;31,000503
18/09/2020 16:58:06,783;38,593772;-14,923901;33,333715;31,935353;47,61476;27,293491;47,615135;30,949057
18/09/2020 16:58:07,784;38,594081;-14,921928;33,308767;31,912415;47,357544;27,190613;47,512251;31,000503
18/09/2020 16:58:08,784;38,593309;-14,921017;33,282279;31,889168;47,460431;27,34493;47,512251;30,949057
18/09/2020 16:58:09,782;38,593001;-14,922535;33,230844;31,843446;47,408987;27,242052;47,409366;31,000503
18/09/2020 16:58:10,784;38,592384;-14,923446;33,205589;31,823895;47,460431;27,242052;47,460808;30,949057
18/09/2020 16:58:11,783;38,589916;-14,922535;33,18018;31,801573;47,306101;27,293491;47,357924;31,000503
18/09/2020 16:58:12,783;38,590687;-14,923598;33,156619;31,781868;47,254658;27,293491;47,357924;30,949057
18/09/2020 16:58:13,784;38,59115;-14,922079;33,108419;31,739842;47,357544;27,242052;47,306481;30,949057
18/09/2020 16:58:14,784;38,588065;-14,920865;33,086245;31,719829;47,203215;27,190613;47,255039;31,000503
18/09/2020 16:58:15,784;38,59007;-14,922383;33,0633;31,699817;47,203215;27,190613;47,100712;31,000503
18/09/2020 16:58:16,783;38,588528;-14,920561;33,041742;31,68119;47,048885;27,190613;47,100712;30,949057
18/09/2020 16:58:17,784;38,588528;-14,922839;32,998318;31,645939;47,048885;27,242052;47,100712;30,897611
18/09/2020 16:58:18,783;38,589762;-14,920865;32,979686;31,628698;47,151771;27,190613;47,100712;30,949057
18/09/2020 16:58:19,782;38,588374;-14,920713;32,960438;31,611611;47,100328;27,242052;47,04927;30,897611
18/09/2020 16:58:20,784;38,589762;-14,920865;32,943037;31,595909;46,894555;27,293491;47,04927;31,000503
18/09/2020 16:58:21,783;38,589145;-14,919802;32,92302;31,5799;46,945998;27,293491;47,04927;31,103396
18/09/2020 16:58:22,784;38,590533;-14,920409;32,889606;31,548806;47,048885;27,242052;47,409366;30,949057
18/09/2020 16:58:23,784;38,590224;-14,918435;32,872668;31,533874;46,894555;27,242052;47,872347;31,051949
18/09/2020 16:58:24,784;38,591458;-14,919954;32,858194;31,519558;46,945998;27,242052;47,615135;30,949057
18/09/2020 16:58:25,783;38,589762;-14,917069;32,840948;31,503242;46,945998;27,242052;48,129558;30,949057
18/09/2020 16:58:26,784;38,590687;-14,917069;32,812;31,476304;46,997442;27,242052;48,078116;30,949057
18/09/2020 16:58:27,783;38,591767;-14,916461;32,797527;31,464144;46,997442;27,242052;48,438212;31,206288
18/09/2020 16:58:28,783;38,593155;-14,916765;32,784593;31,448289;46,945998;27,242052;49,05552;30,897611
18/09/2020 16:58:29,783;38,593618;-14,913121;32,769965;31,434897;46,997442;27,396369;49,106962;31,000503
18/09/2020 16:58:30,783;38,59516;-14,910388;32,741788;31,409345;47,048885;27,242052;49,261289;30,897611
18/09/2020 16:58:31,783;38,595315;-14,910995;32,728854;31,398571;47,151771;27,293491;49,415616;31,000503
18/09/2020 16:58:32,783;38,596394;-14,908718;32,716382;31,387642;47,048885;27,190613;49,467058;30,949057
18/09/2020 16:58:33,783;38,599479;-14,908566;32,70391;31,377791;47,151771;27,34493;49,569943;31,000503
18/09/2020 16:58:34,784;38,601022;-14,902644;32,675426;31,361629;47,151771;27,190613;49,569943;31,000503
18/09/2020 16:58:35,783;38,60241;-14,900519;32,659721;31,350546;47,151771;27,242052;49,569943;30,949057
18/09/2020 16:58:36,783;38,602873;-14,899608;32,646171;31,341926;47,100328;27,293491;49,467058;31,051949
18/09/2020 16:58:37,784;38,604878;-14,891408;32,630312;31,331306;47,048885;27,293491;49,364174;31,000503
18/09/2020 16:58:38,783;38,604723;-14,889435;32,617225;31,321916;47,100328;27,293491;49,672828;31,103396
18/09/2020 16:58:39,783;38,608425;-14,885031;32,586124;31,302214;47,048885;27,242052;49,72427;31,051949
