Time;Tempo de processo;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
15:38:53;21,62;40,849587;23,315973;38,835916;37,980283;34,085193;29,042418;60,578597;34,241608;
15:38:54;21,63;40,852057;23,31674;38,845789;37,99401;34,548182;29,093857;60,527155;34,190162;
15:38:55;21,65;40,850668;23,317048;38,865533;38,016065;34,239523;29,196735;60,527155;34,138715;
15:38:56;21,67;40,849587;23,317662;38,878491;38,028095;34,393853;29,196735;60,527155;34,241608;
15:38:57;21,68;40,851439;23,315819;38,887283;38,040125;34,34241;29,145296;60,475713;34,138715;
15:38:58;21,70;40,853292;23,317815;38,899624;38,05015;34,34241;29,145296;60,578597;34,241608;
15:38:59;21,72;40,850822;23,317662;38,908417;38,061255;34,290966;29,093857;60,527155;34,241608;
15:39:00;21,73;40,852366;23,31674;38,928624;38,084235;34,34241;29,196735;60,527155;34,241608;
15:39:01;21,75;40,854526;23,319198;38,940194;38,09642;34,34241;29,145296;60,42427;34,241608;
15:39:02;21,77;40,853137;23,319965;38,951918;38,107679;34,393853;29,042418;60,42427;34,190162;
15:39:03;21,78;40,855144;23,320887;38,960865;38,117241;34,239523;29,093857;60,42427;34,087269;
15:39:04;21,80;40,855916;23,321347;38,979993;38,140685;34,290966;29,093857;60,218501;34,293054;
15:39:05;21,82;40,856687;23,322576;38,989403;38,147317;34,34241;29,145296;60,218501;34,241608;
15:39:06;21,83;40,856379;23,321808;38,99835;38,162278;34,18808;29,093857;60,321386;34,395946;
15:39:07;21,85;40,856224;23,322115;39,008377;38,176468;34,18808;29,145296;60,218501;34,293054;
15:39:08;21,87;40,860237;23,325494;39,027968;38,200067;34,085193;29,093857;60,218501;34,241608;
15:39:09;21,88;40,85962;23,324419;39,036916;38,210246;34,136637;29,093857;60,269943;34,395946;
15:39:10;21,90;40,859929;23,325494;39,0454;38,223357;34,136637;29,145296;60,269943;34,241608;
15:39:11;21,92;40,861935;23,325647;39,056045;38,233691;34,18808;29,196735;60,115617;34,293054;
15:39:12;21,93;40,863479;23,327336;39,074248;38,258986;34,18808;29,248174;60,115617;34,087269;
15:39:13;21,95;40,863787;23,327336;39,083658;38,268858;34,18808;29,248174;60,115617;34,241608;
15:39:14;21,97;40,86317;23,329947;39,093377;38,276416;34,136637;29,145296;60,167059;34,3445;
15:39:15;21,98;40,863942;23,330101;39,102941;38,289372;34,136637;29,145296;59,96129;34,241608;
15:39:16;22,00;40,867029;23,330868;39,11266;38,297084;34,136637;29,145296;59,96129;34,293054;
15:39:17;22,02;40,866566;23,332404;39,129012;38,316519;34,085193;29,145296;59,909847;34,395946;
15:39:18;22,03;40,869807;23,335168;39,137806;38,325619;34,03375;29,145296;59,909847;34,3445;
15:39:19;22,05;40,868727;23,334707;39,148296;38,333794;34,085193;29,248174;60,064174;34,3445;
15:39:20;22,07;40,869344;23,33609;39,156781;38,346288;34,136637;29,248174;59,909847;34,395946;
15:39:21;22,08;40,871042;23,337318;39,176373;38,365106;34,085193;29,145296;59,806963;34,395946;
15:39:22;22,10;40,872277;23,338239;39,185012;38,373744;33,827977;29,093857;59,75552;34,395946;
15:39:23;22,12;40,872585;23,339621;39,19396;38,38269;33,879421;29,196735;59,704078;34,395946;
15:39:24;22,13;40,873203;23,339468;39,203679;38,393179;33,982307;29,145296;59,75552;34,3445;
15:39:25;22,15;40,873203;23,341771;39,222809;38,415391;33,879421;29,196735;59,806963;34,498838;
15:39:26;22,17;40,873974;23,339929;39,230831;38,424183;33,930864;29,196735;59,75552;34,3445;
15:39:27;22,18;40,873666;23,341618;39,237773;38,432358;33,879421;29,145296;59,75552;34,395946;
15:39:28;22,20;40,875827;23,339314;39,246258;38,439917;33,930864;29,196735;59,75552;34,3445;
15:39:29;22,22;40,874592;23,340389;39,264462;38,457964;33,930864;29,145296;59,704078;34,498838;
15:39:30;22,23;40,873203;23,338547;39,273256;38,467527;33,982307;29,196735;59,601193;34,395946;
15:39:31;22,25;40,872277;23,337318;39,281895;38,475086;34,085193;29,248174;59,498309;34,395946;
15:39:32;22,27;40,87274;23,336857;39,288066;38,485266;34,085193;29,145296;59,498309;34,395946;
15:39:33;22,28;40,872277;23,338547;39,295934;38,493133;34,085193;29,145296;59,498309;34,447392;
15:39:34;22,30;40,873203;23,335629;39,312596;38,512106;33,982307;29,145296;59,549751;34,395946;
15:39:35;22,32;40,871968;23,336704;39,322778;38,521207;34,03375;29,145296;59,446867;34,550284;
15:39:36;22,33;40,872277;23,336704;39,331418;38,529228;34,03375;29,248174;59,29254;34,3445;
15:39:37;22,35;40,872122;23,336243;39,341909;38,539409;34,03375;29,196735;59,395424;34,498838;
15:39:38;22,37;40,873357;23,336243;39,360268;38,55576;34,085193;29,145296;59,29254;34,447392;
15:39:39;22,38;40,871196;23,337318;39,370759;38,560696;34,136637;29,196735;59,343982;34,447392;
15:39:40;22,40;40,871505;23,334861;39,377239;38,574271;33,879421;29,145296;59,241097;34,498838;
15:39:41;22,42;40,870116;23,33655;39,38665;38,58476;33,930864;29,248174;59,241097;34,550284;
15:39:42;22,43;40,871042;23,335168;39,40578;38,606356;33,879421;29,145296;59,29254;34,550284;
15:39:43;22,45;40,869498;23,335168;39,416426;38,617154;34,03375;29,196735;59,29254;34,550284;
15:39:44;22,47;40,868727;23,334861;39,425837;38,630266;33,982307;29,145296;59,189655;34,498838;
15:39:45;22,48;40,869653;23,333786;39,433551;38,640602;33,827977;29,145296;59,08677;34,498838;
15:39:46;22,50;40,8678;23,3344;39,452219;38,663895;33,879421;29,093857;59,035328;34,550284;
15:39:47;22,52;40,8678;23,333325;39,462248;38,673459;33,776534;29,196735;59,08677;34,395946;
15:39:48;22,53;40,867492;23,333479;39,47135;38,685183;33,827977;29,248174;59,189655;34,498838;
15:39:49;22,55;40,866103;23,332711;39,479065;38,69413;33,879421;29,248174;59,035328;34,447392;
15:39:50;22,57;40,866257;23,332404;39,488013;38,70138;33,725091;29,248174;59,189655;34,498838;
15:39:51;22,58;40,86672;23,331329;39,505293;38,720817;33,673648;29,196735;59,138213;34,550284;
15:39:52;22,60;40,86564;23,332404;39,514087;38,730999;33,622204;29,196735;58,932443;34,447392;
15:39:53;22,62;40,866103;23,330408;39,523344;38,738712;33,725091;29,196735;58,932443;34,498838;
15:39:54;22,63;40,865331;23,330254;39,531213;38,745037;33,827977;29,196735;58,932443;34,550284;
15:39:55;22,65;40,865331;23,331329;39,549265;38,760772;33,776534;29,196735;58,983886;34,498838;
15:39:56;22,67;40,866103;23,331636;39,55991;38,769565;33,725091;29,196735;59,035328;34,550284;
15:39:57;22,68;40,865794;23,33179;39,567933;38,776198;33,725091;29,145296;58,726674;34,60173;
