Time;Tempo de processo;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC]
14:58:29;3,62;37,437447;17,853256;31,741261;31,643629;60,989998;26,419028;61,556001;29,45712
14:58:30;3,63;37,43498;17,850496;31,742338;31,643629;60,938554;26,31615;61,658886;29,45712
14:58:31;3,65;37,433592;17,850036;31,742646;31,644399;60,887111;26,367589;61,658886;29,45712
14:58:32;3,67;37,431742;17,84789;31,741877;31,641936;60,989998;26,31615;61,556001;29,354228
14:58:33;3,68;37,429891;17,847737;31,743416;31,639165;60,989998;26,264711;61,658886;29,508566
14:58:34;3,70;37,427116;17,84559;31,744955;31,639011;60,938554;26,31615;61,607444;29,508566
14:58:35;3,72;37,428195;17,845284;31,745725;31,640243;61,19577;26,419028;61,658886;29,45712
14:58:36;3,73;37,426037;17,844977;31,745725;31,639319;61,19577;26,367589;61,658886;29,560013
14:58:37;3,75;37,426037;17,84697;31,74788;31,639473;61,298657;26,31615;61,607444;29,45712
14:58:38;3,77;37,428195;17,847737;31,74865;31,639627;61,144327;26,31615;61,864655;29,611459
14:58:39;3,78;37,428658;17,847277;31,750035;31,640397;61,092884;26,31615;61,76177;29,405674
14:58:40;3,80;37,428195;17,847277;31,751266;31,639935;61,144327;26,31615;61,864655;29,560013
14:58:41;3,82;37,428195;17,848963;31,752344;31,641167;60,938554;26,573345;61,710328;29,508566
14:58:42;3,83;37,427887;17,850036;31,754499;31,642706;60,938554;26,367589;61,864655;29,560013
14:58:43;3,85;37,429429;17,852336;31,7565;31,64286;60,989998;26,367589;61,916097;29,611459
14:58:44;3,87;37,429737;17,853256;31,757116;31,642398;60,938554;26,31615;61,864655;29,508566
14:58:45;3,88;37,4302;17,855249;31,759425;31,642706;60,989998;26,31615;61,864655;29,611459
14:58:46;3,90;37,431279;17,858775;31,759732;31,643476;60,989998;26,31615;61,96754;29,560013
14:58:47;3,92;37,431896;17,859848;31,761426;31,640705;60,938554;26,264711;62,173309;29,611459
14:58:48;3,93;37,433592;17,861688;31,76081;31,643168;60,887111;26,367589;62,121867;29,611459
14:58:49;3,95;37,43498;17,862301;31,762965;31,643476;61,041441;26,419028;62,121867;29,560013
