Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
15/10/2020 14:50:49,620;39,44423;17,460488;31,839468;31,899945;68,037719;24,875857;62,224751;28,376752;
15/10/2020 14:50:50,620;39,44531;17,462481;31,847165;31,908874;67,986275;24,978735;62,018982;28,325306;
15/10/2020 14:50:51,621;39,450247;17,465087;31,863944;31,925654;67,986275;24,875857;62,276194;28,428198;
15/10/2020 14:50:52,620;39,451019;17,46754;31,871333;31,935045;67,934832;25,030174;62,224751;28,376752;
15/10/2020 14:50:53,621;39,453796;17,469073;31,879491;31,942897;68,089162;24,72154;62,430521;28,479644;
15/10/2020 14:50:54,620;39,457807;17,471526;31,888419;31,952288;67,986275;24,824418;62,379078;28,479644;
15/10/2020 14:50:55,621;39,460584;17,474898;31,903659;31,970762;68,037719;24,824418;62,481963;28,479644;
15/10/2020 14:50:56,620;39,46583;17,476585;31,912279;31,979537;67,986275;24,824418;62,379078;28,428198;
15/10/2020 14:50:57,620;39,468298;17,478424;31,917205;31,988312;68,089162;24,824418;62,63629;28,428198;
15/10/2020 14:50:58,621;39,468761;17,481183;31,926903;31,99678;68,037719;24,824418;62,533405;28,531091;
15/10/2020 14:50:59,621;39,472001;17,48195;31,941373;32,013407;68,089162;24,72154;62,584847;28,582537;
15/10/2020 14:51:00,622;39,474007;17,482257;31,9483;32,019719;68,140605;24,772979;62,687732;28,531091;
15/10/2020 14:51:01,620;39,475241;17,48287;31,956613;32,027263;68,089162;24,824418;62,584847;28,531091;
15/10/2020 14:51:02,620;39,47447;17,483483;31,965541;32,033267;68,243492;24,772979;62,687732;28,531091;
15/10/2020 14:51:03,620;39,474624;17,483483;31,972007;32,039579;68,243492;24,875857;62,63629;28,582537;
15/10/2020 14:51:04,620;39,475704;17,483636;31,984476;32,053743;68,294935;24,875857;62,687732;28,582537;
15/10/2020 14:51:05,620;39,476013;17,48333;31,990941;32,057746;68,294935;24,875857;62,687732;28,582537;
15/10/2020 14:51:06,620;39,476013;17,482716;32,000178;32,065136;68,397821;24,824418;62,842059;28,531091;
15/10/2020 14:51:07,620;39,474316;17,48149;32,005873;32,072218;68,552151;24,875857;62,790617;28,582537;
15/10/2020 14:51:08,621;39,473236;17,48195;32,018958;32,084996;68,603594;24,875857;63,047828;28,736875;
15/10/2020 14:51:09,620;39,474624;17,483176;32,026194;32,095158;68,655037;24,824418;62,893501;28,633983;
15/10/2020 14:51:10,621;39,474007;17,48149;32,031428;32,101162;68,603594;24,772979;63,047828;28,685429;
15/10/2020 14:51:11,620;39,474161;17,48103;32,039433;32,108244;68,706481;24,824418;63,047828;28,633983;
15/10/2020 14:51:12,620;39,474624;17,481337;32,051286;32,116866;68,86081;24,72154;63,150713;28,788321;
15/10/2020 14:51:13,622;39,472927;17,481337;32,058675;32,120253;68,809367;24,772979;63,150713;28,685429;
15/10/2020 14:51:14,622;39,472001;17,480724;32,066065;32,123486;68,809367;24,72154;63,150713;28,736875;
15/10/2020 14:51:15,620;39,47015;17,480724;32,076994;32,125949;68,86081;24,824418;63,253597;28,788321;
15/10/2020 14:51:16,620;39,47123;17,48149;32,080227;32,126257;68,809367;24,772979;63,356482;28,788321;
15/10/2020 14:51:17,621;39,469378;17,48057;32,091773;32,126257;68,86081;24,824418;63,30504;28,788321;
15/10/2020 14:51:18,621;39,471076;17,479344;32,098393;32,126719;68,86081;24,978735;63,253597;28,685429;
15/10/2020 14:51:19,620;39,470613;17,48149;32,101626;32,127335;69,01514;24,927296;63,30504;28,788321;
15/10/2020 14:51:20,620;39,468298;17,479957;32,109323;32,128105;69,066583;24,772979;63,356482;28,736875;
15/10/2020 14:51:21,620;39,47015;17,479651;32,117636;32,13257;69,01514;24,824418;63,30504;28,839767;
15/10/2020 14:51:22,621;39,46691;17,478884;32,121946;32,133339;69,169469;24,772979;63,253597;28,736875;
15/10/2020 14:51:23,621;39,467218;17,479804;32,123178;32,133031;69,118026;24,824418;63,253597;28,788321;
15/10/2020 14:51:24,621;39,468916;17,478424;32,128104;32,135649;69,169469;24,824418;63,30504;28,788321;
15/10/2020 14:51:25,622;39,467373;17,479037;32,136725;32,138574;69,323799;24,824418;63,819463;28,891213;
15/10/2020 14:51:26,620;39,468916;17,478577;32,139958;32,140883;69,323799;24,824418;63,30504;28,788321;
15/10/2020 14:51:27,620;39,468916;17,479497;32,143653;32,142115;69,323799;24,824418;63,253597;28,891213;
15/10/2020 14:51:28,621;39,468916;17,479804;32,149349;32,146426;69,169469;24,824418;63,253597;28,891213;
15/10/2020 14:51:29,621;39,47123;17,480264;32,157508;32,150737;69,220913;24,824418;63,253597;28,942659;
