Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/09/2020 14:47:12,320;37,897739;-24,406612;33,117659;31,009776;61,50443;25,647442;61,247347;28,633983;
18/09/2020 14:47:13,320;37,897585;-24,407217;33,124434;31,019319;61,555873;25,596003;61,350232;28,736875;
18/09/2020 14:47:14,320;37,897431;-24,40858;33,130132;31,031939;61,658759;25,75032;61,247347;28,582537;
18/09/2020 14:47:15,320;37,89666;-24,405703;33,134598;31,041481;61,864532;25,698881;61,453117;28,582537;
18/09/2020 14:47:16,320;37,896505;-24,413879;33,143837;31,06072;61,864532;25,698881;61,607444;28,633983;
18/09/2020 14:47:17,320;37,895272;-24,412214;33,148457;31,070571;61,915975;25,647442;61,813213;28,582537;
18/09/2020 14:47:18,321;37,896197;-24,412365;33,153231;31,07842;61,864532;25,647442;61,76177;28,685429;
18/09/2020 14:47:19,320;37,895117;-24,412063;33,157081;31,088116;61,915975;25,647442;61,813213;28,633983;
18/09/2020 14:47:20,320;37,893884;-24,408429;33,164934;31,101661;62,018862;25,647442;61,864655;28,736875;
18/09/2020 14:47:21,320;37,897122;-24,4054;33,170786;31,109972;62,018862;25,647442;61,76177;28,685429;
18/09/2020 14:47:22,320;37,895889;-24,40646;33,176176;31,115513;62,070305;25,698881;61,916097;28,736875;
18/09/2020 14:47:23,320;37,896505;-24,405249;33,180334;31,12444;62,173192;25,698881;62,018982;28,736875;
18/09/2020 14:47:24,320;37,89851;-24,409186;33,190959;31,136137;62,276078;25,647442;61,96754;28,736875;
18/09/2020 14:47:25,320;37,900515;-24,399344;33,194963;31,14137;62,173192;25,75032;61,916097;28,788321;
18/09/2020 14:47:26,320;37,901749;-24,401312;33,200661;31,149066;62,224635;25,698881;61,916097;28,685429;
18/09/2020 14:47:27,320;37,903753;-24,395559;33,206667;31,154761;62,378964;25,596003;61,96754;28,788321;
18/09/2020 14:47:28,321;37,903753;-24,397527;33,212057;31,16338;62,430408;25,544564;61,916097;28,736875;
18/09/2020 14:47:29,320;37,904216;-24,398133;33,226224;31,175847;62,481851;25,647442;61,96754;28,839767;
18/09/2020 14:47:30,320;37,904987;-24,397678;33,232384;31,183081;62,533294;25,647442;61,76177;28,788321;
18/09/2020 14:47:31,320;37,905295;-24,395104;33,235156;31,187853;62,533294;25,698881;61,916097;28,839767;
18/09/2020 14:47:32,320;37,905912;-24,395861;33,242702;31,197857;62,739067;25,647442;61,76177;28,839767;
18/09/2020 14:47:33,320;37,903908;-24,396467;33,252712;31,213557;62,841953;25,698881;62,018982;28,891213;
18/09/2020 14:47:34,320;37,904987;-24,401464;33,260258;31,222638;62,94484;25,698881;62,018982;28,942659;
18/09/2020 14:47:35,320;37,903908;-24,396013;33,266264;31,229872;63,09917;25,698881;61,864655;28,891213;
18/09/2020 14:47:36,320;37,902982;-24,398738;33,272423;31,237876;63,150613;25,647442;62,070424;28,839767;
18/09/2020 14:47:37,320;37,901749;-24,389502;33,282125;31,255884;63,407829;25,647442;62,018982;28,788321;
18/09/2020 14:47:38,320;37,90252;-24,402372;33,287977;31,263734;63,459272;25,596003;62,379078;28,891213;
18/09/2020 14:47:39,320;37,901286;-24,393742;33,292751;31,271584;63,459272;25,596003;62,533405;28,891213;
18/09/2020 14:47:40,320;37,901903;-24,399344;33,297217;31,277433;63,716488;25,596003;62,533405;28,942659;
18/09/2020 14:47:41,320;37,903445;-24,39147;33,299835;31,285591;63,819375;25,698881;62,63629;28,942659;
18/09/2020 14:47:42,320;37,90144;-24,394044;33,311693;31,298674;63,973704;25,698881;62,63629;28,942659;
18/09/2020 14:47:43,320;37,902057;-24,388442;33,315235;31,304985;63,973704;25,647442;62,63629;29,045552;
18/09/2020 14:47:44,320;37,90144;-24,387534;33,318161;31,312681;64,076591;25,904637;62,63629;28,942659;
18/09/2020 14:47:45,320;37,901903;-24,385111;33,325091;31,321608;64,23092;25,698881;62,944944;28,994105;
18/09/2020 14:47:46,320;37,900823;-24,391773;33,333561;31,337924;64,23092;25,596003;62,63629;28,942659;
18/09/2020 14:47:47,320;37,900978;-24,386474;33,336949;31,345928;64,179477;25,698881;62,687732;28,994105;
18/09/2020 14:47:48,320;37,900669;-24,39147;33,340953;31,353009;64,179477;25,647442;62,739174;28,736875;
18/09/2020 14:47:49,320;37,901749;-24,386777;33,344803;31,360859;64,179477;25,596003;62,893501;29,045552;
18/09/2020 14:47:50,320;37,901286;-24,383143;33,349885;31,374866;64,128034;25,698881;62,790617;29,045552;
18/09/2020 14:47:51,320;37,899744;-24,381931;33,354043;31,381331;64,128034;25,647442;62,996386;28,942659;
18/09/2020 14:47:52,321;37,89959;-24,387382;33,357894;31,386872;64,128034;25,698881;63,099271;28,994105;
18/09/2020 14:47:53,321;37,898356;-24,386777;33,36005;31,3958;64,128034;25,647442;63,099271;28,994105;
18/09/2020 14:47:54,320;37,898819;-24,387836;33,364516;31,407498;64,076591;25,647442;63,150713;29,096998;
18/09/2020 14:47:55,320;37,899127;-24,38496;33,368982;31,415656;64,128034;25,75032;63,150713;28,994105;
18/09/2020 14:47:56,320;37,899435;-24,39041;33,37314;31,421044;64,128034;25,647442;63,356482;29,148444;
18/09/2020 14:47:57,320;37,899127;-24,390713;33,37545;31,427663;64,025147;25,647442;63,356482;29,045552;
18/09/2020 14:47:58,320;37,898664;-24,388745;33,379608;31,435821;64,128034;25,493125;63,407924;29,096998;
18/09/2020 14:47:59,321;37,89959;-24,384808;33,384536;31,449674;63,973704;25,596003;63,510809;29,148444;
18/09/2020 14:48:00,320;37,898973;-24,374966;33,388232;31,459064;64,025147;25,698881;63,459367;28,994105;
18/09/2020 14:48:01,320;37,900669;-24,376935;33,391158;31,466453;63,973704;25,698881;63,716578;29,096998;
