Time;Hora;Tempo (min);PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/08/2020 14:51:19,070;14:51:19;1,75;34,865447;-97,469548;26,858531;25,390071;75,239769;21,429443;52,965135;22,409005;
18/08/2020 14:51:20,070;14:51:20;1,77;34,863906;-97,47696;26,925546;25,479189;75,136883;21,532321;53,016578;22,460451;
18/08/2020 14:51:21,071;14:51:21;1,78;34,864522;-97,483482;26,964588;25,522674;75,188326;21,532321;53,016578;22,460451;
18/08/2020 14:51:22,070;14:51:22;1,80;34,863135;-97,482148;27,004706;25,568464;75,188326;21,429443;53,016578;22,357559;
18/08/2020 14:51:23,069;14:51:23;1,82;34,863752;-97,488522;27,044056;25,611335;75,188326;21,635199;53,119462;22,409005;
18/08/2020 14:51:24,071;14:51:24;1,83;34,863752;-97,490301;27,124603;25,693237;75,08544;21,480882;53,016578;22,460451;
18/08/2020 14:51:25,070;14:51:25;1,85;34,864676;-97,49371;27,164723;25,733651;75,08544;21,429443;53,170905;22,563343;
18/08/2020 14:51:26,070;14:51:26;1,87;34,863598;-97,493859;27,203767;25,773143;75,188326;21,429443;53,119462;22,460451;
18/08/2020 14:51:27,071;14:51:27;1,88;34,864522;-51,283338;27,243274;25,815248;75,136883;21,532321;53,119462;22,563343;
18/08/2020 14:51:28,071;14:51:28;1,90;34,863906;-50,03261;27,320289;25,899922;75,188326;21,429443;53,170905;22,563343;
18/08/2020 14:51:29,071;14:51:29;1,92;34,862057;-49,793802;27,360258;25,940031;75,239769;21,532321;53,325232;22,563343;
18/08/2020 14:51:30,070;14:51:30;1,93;34,863135;-49,684537;27,39869;25,976913;75,291213;21,480882;53,325232;22,666235;
18/08/2020 14:51:31,070;14:51:31;1,95;34,863135;-49,60097;27,435431;26,01395;75,291213;21,480882;53,479559;22,717681;
18/08/2020 14:51:32,070;14:51:32;1,97;34,862057;-49,540548;27,472019;26,053599;75,291213;21,429443;53,531001;22,666235;
18/08/2020 14:51:33,071;14:51:33;1,98;34,862673;-49,465545;27,540738;26,121527;75,445542;21,480882;53,73677;22,666235;
