time;process_time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
15:13:44,314;90,00;42,800351;20,472418;28,509256;27,692852;53,427844;24,310028;52,039174;25,23854
15:13:45,314;91,00;42,799887;20,472264;28,535091;27,71776;53,427844;24,258589;51,987732;25,187094
15:13:46,315;92,00;42,800042;20,472571;28,560311;27,744053;53,427844;24,258589;51,781962;25,289986
15:13:47,314;93,00;42,801741;20,473952;28,586301;27,771268;53,427844;24,310028;51,884847;25,341432
15:13:48,314;94,00;42,803285;20,474412;28,63382;27,827084;53,324958;24,310028;51,833405;25,341432
15:13:49,314;95,00;42,803131;20,473185;28,657042;27,856452;53,376401;24,310028;51,627635;25,444325
15:13:50,315;96,00;42,803594;20,473645;28,682109;27,883361;53,427844;24,20715;51,524751;25,495771
15:13:51,314;97,00;42,802822;20,474259;28,707176;27,913038;53,273515;24,412906;51,421866;25,392878
15:13:52,313;98,00;42,804212;20,472878;28,758388;27,967933;53,222071;24,361467;51,421866;25,392878
15:13:53,314;99,00;42,804521;20,473952;28,786225;27,991767;53,222071;24,310028;51,318982;25,495771
15:13:54,314;100,00;42,804675;20,473031;28,813446;28,017446;53,273515;24,310028;51,113212;25,392878
15:13:55,313;101,00;42,804366;20,473645;28,839437;28,041281;53,170628;24,258589;51,06177;25,392878
15:13:56,313;102,00;42,804675;20,473185;28,893573;28,084337;53,222071;24,310028;51,113212;25,392878
15:13:57,314;103,00;42,802822;20,474105;28,917873;28,105097;53,119185;24,310028;51,164655;25,495771
15:13:58,314;104,00;42,804057;20,474259;28,942789;28,126164;53,273515;24,515784;50,958885;25,495771
15:13:59,314;105,00;42,804521;20,475333;28,966782;28,148462;53,427844;24,258589;50,856001;25,495771
15:14:00,315;106,00;42,804675;20,475793;29,014768;28,196748;53,376401;24,310028;50,907443;25,598663
15:14:01,314;107,00;42,806065;20,478402;29,037992;28,22166;53,273515;24,361467;50,907443;25,547217
15:14:02,315;108,00;42,807918;20,478862;29,061986;28,246573;53,273515;24,361467;50,856001;25,547217
15:14:03,314;109,00;42,808536;20,479476;29,084595;28,269486;53,222071;24,567223;50,753116;25,547217
15:14:04,314;110,00;42,809154;20,479782;29,106743;28,292554;53,222071;24,361467;50,650232;25,547217
15:14:05,314;111,00;42,813478;20,483618;29,151655;28,33669;53,222071;24,258589;50,547347;25,547217
15:14:06,314;112,00;42,815177;20,484232;29,172573;28,356836;53,273515;24,258589;50,495905;25,753001
15:14:07,314;113,00;42,81425;20,486073;29,193184;28,376828;53,376401;24,310028;50,495905;25,547217
15:14:08,315;114,00;42,817648;20,488528;29,215025;28,395436;53,324958;24,361467;50,341578;25,598663
15:14:09,314;115,00;42,820891;20,490216;29,252709;28,43619;53,170628;24,258589;50,290135;25,701555
15:14:10,314;116,00;42,8212;20,490676;29,273013;28,459259;53,222071;24,258589;50,238693;25,598663
15:14:11,314;117,00;42,821818;20,491443;29,29147;28,48202;53,273515;24,20715;50,238693;25,701555
15:14:12,313;118,00;42,8212;20,493285;29,31162;28,504935;53,273515;24,001394;50,135808;25,650109
15:14:13,314;119,00;42,824134;20,495126;29,349459;28,54769;53,170628;24,20715;50,187251;25,701555
15:14:14,314;120,00;42,823517;20,49574;29,369302;28,569529;53,273515;24,310028;50,238693;25,753001
15:14:15,314;121,00;42,827841;20,499575;29,389452;28,589676;53,273515;24,310028;50,187251;25,753001
15:14:16,314;122,00;42,831239;20,500036;29,406834;28,609055;53,273515;24,361467;50,032924;25,701555
15:14:17,313;123,00;42,834791;20,503565;29,444213;28,646582;53,222071;24,310028;49,930039;25,753001
15:14:18,314;124,00;42,839733;20,505099;29,460979;28,664576;53,222071;24,361467;49,878597;25,701555
15:14:19,313;125,00;42,838188;20,508014;29,478823;28,682725;53,119185;24,310028;49,827155;25,753001
15:14:20,314;126,00;42,838652;20,510469;29,495897;28,699643;53,376401;24,310028;49,827155;25,701555
15:14:21,314;127,00;42,839578;20,510623;29,511434;28,716715;53,324958;24,310028;49,72427;25,701555
15:14:22,314;128,00;42,846219;20,514612;29,543891;28,754397;53,530731;24,258589;49,775712;25,804447
15:14:23,314;129,00;42,847455;20,515226;29,557428;28,775007;53,427844;24,361467;49,72427;25,804447
15:14:24,313;130,00;42,850389;20,517067;29,571888;28,795924;53,427844;24,412906;49,672828;25,855893
15:14:25,313;131,00;42,851316;20,517374;29,586809;28,814843;53,376401;24,310028;49,672828;25,804447
15:14:26,313;132,00;42,855331;20,520136;29,614498;28,852833;53,324958;24,258589;49,621385;25,804447
15:14:27,314;133,00;42,855795;20,521977;29,627266;28,87206;53,427844;24,310028;49,569943;25,855893
15:14:28,313;134,00;42,853324;20,52213;29,64188;28,890824;53,427844;24,310028;49,621385;25,907339
15:14:29,314;135,00;42,853324;20,522744;29,656494;28,910666;53,376401;24,361467;49,364174;25,855893
15:14:30,313;136,00;42,857648;20,523511;29,687107;28,946504;53,324958;24,310028;49,364174;25,958786
15:14:31,314;137,00;42,859192;20,524739;29,70449;28,962962;53,479287;24,412906;49,467058;25,855893
15:14:32,314;138,00;42,857494;20,524432;29,720489;28,980036;53,376401;24,361467;49,364174;25,804447
15:14:33,314;139,00;42,857339;20,524278;29,739565;28,997263;53,427844;24,310028;49,364174;25,855893
15:14:34,315;140,00;42,860737;20,525966;29,770794;29,028488;53,427844;24,310028;49,261289;26,010232
15:14:35,314;141,00;42,856876;20,524585;29,789408;29,045562;53,222071;24,361467;49,312731;25,907339
15:14:36,314;142,00;42,856721;20,523972;29,80633;29,061713;53,222071;24,361467;49,261289;25,958786
15:14:37,313;143,00;42,858575;20,524278;29,823406;29,077248;53,222071;24,258589;49,312731;25,958786
15:14:38,314;144,00;42,857185;20,522591;29,838637;29,09263;53,222071;24,361467;49,364174;26,061678
15:14:39,314;145,00;42,858266;20,523511;29,869866;29,12524;53,222071;24,464345;49,261289;26,010232
15:14:40,314;146,00;42,856721;20,52213;29,886174;29,138777;53,273515;24,310028;49,158405;26,010232
